BioSample	Experiment	LoadDate	MBases	MBytes	Run	SRA_Sample	Sample_Name	sample_type	sex	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	SRA_Study	age	biomaterial_provider	isolate	tissue
SAMN03272479	SRX823793	2014-12-24	11762	7466	SRR1734550	SRS803462	RO-11	Tumor sample 11	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272480	SRX823794	2014-12-23	11163	7677	SRR1734551	SRS803463	NKS-1	Matched normal sample 1	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272481	SRX823795	2014-12-23	8918	6123	SRR1734552	SRS803464	NKS-2	Matched normal sample 2	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272482	SRX823796	2014-12-23	8662	5948	SRR1734553	SRS803465	NKS-3	Matched normal sample 3	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272483	SRX823797	2014-12-23	8345	5740	SRR1734554	SRS803466	NKS-4	Matched normal sample 4	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272484	SRX823798	2014-12-23	11765	8077	SRR1734555	SRS803467	NKS-5	Matched normal sample 5	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272485	SRX823799	2014-12-23	9321	6269	SRR1734556	SRS803468	NKS-6	Matched normal sample 6	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272486	SRX823800	2014-12-23	9788	6602	SRR1734557	SRS803469	NKS-7	Matched normal sample 7	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272487	SRX823801	2014-12-23	10309	6943	SRR1734558	SRS803470	NKS-8	Matched normal sample 8	female	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272488	SRX823802	2014-12-23	9198	6213	SRR1734559	SRS803471	NKS-9	Matched normal sample 9	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272489	SRX823803	2014-12-23	8331	5617	SRR1734560	SRS803472	NKS-10	Matched normal sample 10	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
SAMN03272490	SRX823804	2014-12-24	13280	8406	SRR1734561	SRS803473	NKS-11	Matched normal sample 11	male	WXS	202	PRJNA271036	Human	DOE JOINT GENOME INSTITUTE	public	sra	ncbi	0	Illumina HiSeq 2500	PAIRED	unspecified	GENOMIC	Homo sapiens	ILLUMINA	2015-03-01	SRP051509	missing	MSKCC	not applicable	kidney
